Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
ANXA5,HLA-E,NOP53,ZWINT,MT-ND4L,CA8,LAPTM4B,,CKS2,CALM2,MYC,CXCL10,BMX,ARL4C,,PKM,S100A9,,CDKN2A,SCGB2A2,PLAUR
HSP90B1,COL5A2,ASB8,CKAP2,NEAT1,CD99,CCT5,,HMGB1,CXCL1,MRPL51,FMO2,ADAM17,SYTL3,,AHNAK,RAD21,,IFITM3,KRT7,RPS21
HIF1A,TPM2,EPB41,ADAMTS6,MT-CYB,HLA-DRA,DDX5,,RSAD2,HMGA1,PRELID1,EDN3,JMJD1C,KLRC1,,ITGAX,PADI2,,UBB,HSPD1,HMGA1
EPSTI1,PTX3,CLIC1,LAMA3,MT-ATP6,POSTN,CHCHD2,,MIF,PRELID1,LY6E,FGL2,XAF1,,,FOSL2,RN7SL1,,ANXA3,NDUFS6,HLA-C
MX2,LINC01929,TC2N,COL9A1,JCHAIN,ARID5B,TPM4,,TPI1,HMGN1,EGFR,MT1E,SOCS2,,,DCXR,TCEA3,,S100A2,HMGN1,NEDD9
LGMN,TMSB4X,ELF1,MIS18BP1,MT-ND4,ZFP36L2,RPS29,,MT-ND5,YWHAZ,IGFL2-AS1,CFI,TTC14,,,CXCL8,CDCA3,,EPCAM,KRT17,G0S2
MERTK,ISG20,BIN2,RN7SL1,,EDNRB,PPA1,,LSM4,CCT5,MYL6,LUM,MGST3,,,SAT1,SIK1,,VAMP8,RPS10,CEBPD
NNMT,IER2,SH2D1A,TMEM154,,NQO1,RPS10,,RPS17,EIF5A,YWHAZ,CSTA,HERPUD1,,,,CALML5,,TAGLN2,SERBP1,IGFBP2
LGALS3BP,IL1B,MIS18BP1,IMPA2,,UBL5,SERPINB4,,FABP5,UQCRFS1,MT-ND2,MXRA5,NBL1,,,,RRM2,,TSC22D1,SLC25A5,KRT18
CD38,IL10,QKI,PABPC1,,CPXM2,NFKBIA,,DDX5,AZGP1,GAL,ID3,POLR2I,,,,RTKN2,,MRPL51,EIF3G,CDKN1C
DMXL2,SLPI,DCP1A,CSTA,,ARL4C,ANXA1,,FABP4,MYL6,AARD,C1S,ECE1,,,,FCHO1,,CLU,LDHA,S100A16
C2,TPM4,MIR155HG,NEK2,,CDH13,SOX17,,LINC02381,DRAP1,KRT6B,NKD2,DUSP6,,,,SLC44A2,,ID3,CFL1,HSPB1
MT1F,IER3,VCL,C12orf75,,GADD45A,SERBP1,,SERPING1,SIX6,PAGE1,LAMP5,ZBTB20,,,,RAD51C,,GPX4,FTL,PABPC1
GSTO1,PARP14,APLP2,POLR2L,,AREG,PCNA,,OAS3,TOMM7,ID1,ACP5,ARL6IP1,,,,TK1,,ATP1B1,ATP5MG,RARRES1
UGP2,CCDC68,B4GALT1,CCDC34,,MCTP1,PCDH17,,MEDAG,EIF2S2,AKR1C1,HEBP2,RALGAPA2,,,,MYBL2,,KRT18,MT-ND5,JUNB
IFI35,CMPK2,NFIL3,TRPS1,,SERTAD1,SRSF7,,PABPC1,HSP90AA1,TNFRSF12A,ANKRD65,GADD45A,,,,MARCKSL1,,UBL5,PPA1,HLA-A
OAS2,MARCKS,ARHGEF7,RAC2,,NRP1,MT1G,,SDCBP,KRT18,CCND1,EFEMP1,VAMP5,,,,CACYBP,,IQCG,COX8A,TNFRSF12A
PTPRC,IL32,CTSB,SLC26A2,,POLR2L,GPC3,,EPSTI1,LY6E,PXDNL,KIF5C,S100A13,,,,AP1M2,,SH3BGRL3,CALM2,KRT7
GRN,MYDGF,RARRES2,PI3,,NDUFA4,EBNA1BP2,,LDHB,CBX3,FAM110B,ICAM1,RPA2,,,,CENPN,,TSPO,HLA-A,PAX8
ITM2B,DHRS2,TRIM56,CLDN7,,NID1,TAGLN,,LDHA,KRT16,NEURL3,IRF1,XIST,,,,CKS2,,SERPINB5,S100A2,IL1RN
MT-ND4L,SNX10,UBE2D1,CEP152,,FBN1,RGS10,,CKS1B,PIN1,MYL12A,SERPINA3,CIB1,,,,ANAPC16,,CYCS,IER2,LAPTM4B
CEP170,CD109,CTSC,PHF19,,ABLIM1,NOP56,,JPT1,CITED4,GNG11,APOD,HLA-DPA1,,,,KPNA2,,SNRPG,PERP,APOBEC3A
HLA-DQA2,DLK1,MYBL1,SOX4,,BNIP3L,MT1E,,CYGB,HMGN2,TSPO,CLDN4,CERK,,,,DNAJB1,,ATP5F1E,CRYAB,LAMB3
SLFN11,PSMA7,SLC1A5,CNTN1,,MGST3,ODC1,,HNRNPAB,MRPL4,PPDPF,CTSK,NDUFV2,,,,ATAD2,,C1QBP,DDX5,CD9
FOSB,XAF1,CD8A,TECR,,ANXA1,ATP5PF,,NQO1,LMNA,KCNK15,ISLR,BANF1,,,,SOX11,,UQCR10,NDUFB2,DDIT4
IGF2R,PLPP4,SDE2,TNS4,,FAM110B,AOC1,,SLC25A6,ATP5F1E,IL32,TSC22D1,DYNLL1,,,,PTTG1,,MAL2,NDUFB7,ITGB8
IL10,PSMB9,PAWR,SFRP1,,CDKN3,LGR5,,TWIST1,NDUFA4,KRT18,SLC1A3,CDC42SE2,,,,TXNDC17,,FBXO32,EIF4A1,VMP1
TPST1,GREM1,RAB31,MT1E,,RFTN1,SLC25A5,,DYNLL1,ATP5MC3,MT1M,CLIC3,CD200,,,,PRDX2,,BRI3,CLIC1,MCL1
CD47,RIMS2,NFKB2,FASN,,HOXD1,EMP1,,PRDX2,IGF2,CD63,RPS26,CYBA,,,,POLG2,,YWHAH,CD44,EMP1
CLIP4,ACTG1,IER5,LMNB1,,CLEC14A,ANXA2,,DDX21,DUSP26,CYP1A1,IFI6,CAPN2,,,,ECE2,,ATOX1,DYNLL1,LINC01480
VAV3,RTP4,LGALS1,SAP30,,DEK,SQLE,,ATP5MG,LSM4,KLK10,MRC2,FAM3C,,,,SUMF2,,CFH,S100A7,CD55
DDX60L,FABP5,GSN,MET,,HLA-DPA1,CYBA,,TOMM7,MAL2,U2AF1,MX1,CIRBP,,,,OXT,,NUPR1,GADD45GIP1,GPRC5A
XAF1,ITGA11,DUSP1,PKM,,F2R,GTF2H2,,PPARG,CALD1,CALCB,CD14,HLA-DRB1,,,,PAFAH1B3,,NDUFC2,B2M,PNRC1
TLR4,GRP,MAP4K5,SERPINB7,,MARCKSL1,SNRPE,,PRRX2,PKM,SYT8,MARCKSL1,HMOX2,,,,EIF5A,,NHP2,HSPA1A,SPRR2A
B4GALT1,CNTN1,UTP3,KRTCAP3,,ITIH5,LSM2,,DEK,NDUFB7,TYMS,PLAT,SH2B3,,,,PEG10,,TRPS1,CALD1,IFT57
TGFBR2,CAMK2D,TAGLN2,CPVL,,ROMO1,SOX18,,IFI6,FLNA,APOBEC3A,LTC4S,CD55,,,,TTC3,,NDUFA1,COX7B,CCL4
DPYD,XIRP1,MDK,PSAT1,,CD36,ATAD2,,COL6A2,MRPS15,IFIT2,RASL11B,SOX17,,,,PPP1CA,,CDH1,SFRP1,RCAN1
GPR68,SIK1,XCL1,GRAMD1B,,GIMAP7,FNDC3A,,SPRY2,MT1M,CDKL1,VCAN,MGAT1,,,,PIK3R3,,BST2,MARCKS,LIF
C3,IFI35,RUNX1,RTKN2,,GRN,SBDS,,HLA-E,LINC00581,SMIM11,SRPX2,CBX3,,,,SMC2,,SPINT1,ATP5MF,NFKBID
IFI30,LINC01116,RCN1,ELF5,,TNFRSF1B,DNAJC9,,AKR1C2,RCAN1,SNCG,MEG3,OCIAD2,,,,ZFP36L2,,AP2S1,IMPA2,MLF1
CHST11,CALM2,ZC3H12A,COX6C,,PLSCR4,VIM,,TNFAIP8,MARCKS,DDX21,XAF1,IFI6,,,,MRC2,,TMPO,TECR,HLA-DRA
OSCAR,DSP,FAM3C,PHF21A,,DTYMK,FAM111B,,PERP,HEPACAM2,CECR7,LGALS1,HLA-DRB5,,,,SERBP1,,IRF7,APRT,KLK7
HMGB1,TMEM215,EEA1,S100A8,,OPTN,AQP3,,HS3ST2,XAGE3,FKBP4,BHLHE41,ANGPTL2,,,,ARGLU1,,DNAJC9,FXYD3,ODC1
ZNF331,IFIT5,ABHD5,NAPRT,,EGLN1,COL3A1,,STK17B,TCEAL2,UBE2S,GAS6,C1QBP,,,,GMPS,,CKS1B,COX6C,CX3CL1
SEMA4A,SLC38A5,PLK3,DNER,,CASP4,KLK6,,NDUFA4L2,KLK6,CALM1,SGK1,LYSMD2,,,,ARNT,,PSAP,DSP,PMEPA1
SLC7A8,TUBA1B,COL18A1,SEMA7A,,AHR,FKBP1A,,CPE,COL9A1,LMO7,PLK2,VOPP1,,,,KIF20B,,RPA3,VOPP1,SNU13
ACO1,MYL12A,IER3,LAMB3,,GSTM3,TNF,,MRPL4,PRDX2,FBLN2,MXRA8,SDCBP,,,,ANK3,,NME1,RCN1,FCHO1
TUBA1A,PDLIM2,FNIP2,RPL36A,,CCDC71L,PROM1,,ITM2C,DKC1,CLDN1,TOMM7,LAMB1,,,,HMGB3,,ZNF331,TIMP3,LINC01215
HERPUD1,SERPINH1,SERPINE2,TPD52L1,,MIR22HG,ARID5B,,ENPEP,MRPL51,CPA4,NSG1,DUSP5,,,,UBE2T,,HNRNPAB,UQCR10,SLC25A6
PLSCR1,ITPR1,GCLM,NEDD4,,CCNDBP1,HIF3A,,SSRP1,CCDC85B,CMBL,IFITM1,PIM3,,,,RPA3,,ANAPC16,DDX21,PRDX1
PDE4D,RALA,SLC41A2,DCLK1,,CARD6,TWIST2,,ID1,SST,TPD52,SHF,RAB32,,,,CENPU,,MX1,KLK5,HORMAD1
PRKDC,TSPAN8,NFKBIZ,NBEA,,ATP5MC3,RBM3,,IRX2,KCNB2,POLR2L,ZNF521,ADAMTS9,,,,TECR,,PPP1CB,SNU13,CD40
PILRA,RPS21,BAG3,CHN1,,DNAJA1,CPXM2,,TFPI,ATP5MF,LAMA4,NCOA7,NTAN1,,,,NR2F2,,ATP5MF,DKC1,LMNA
TAP1,SOCS3,OTUD4,SIVA1,,DNAJC15,ECT2,,PCOLCE,NDUFC2,BRI3,TCEA3,TSPO,,,,KAT6B,,ARHGAP29,CRABP2,HEBP2
WIPF1,TRAC,RAB32,JADE1,,CITED2,PRDX2,,DNMT1,MCF2,IRAK1,DYNLL1,PPP1CB,,,,ANXA6,,PHGDH,UQCC2,JUP
LNPEP,CDC42EP3,DNAJB9,FBXO2,,SHISA2,CLDN6,,ID2,LINC02384,TLN1,LRP1,MDK,,,,ZC3H11A,,BANF1,WNT6,ACTN4
PARP1,UBE2T,SLC3A2,KYNU,,SP100,BST2,,IGFBP4,AQP4-AS1,MISP,TNFAIP6,MECOM,,,,HPCAL1,,PCNA,UBC,CHL1
MGAT4A,NKAIN4,COL1A1,BORCS5,,RAB32,KRT23,,DDX39A,PTPRN,CD47,SUGCT,YWHAH,,,,YBX1,,ARL6IP5,SLC44A2,TP53BP2
GOLIM4,WNT5A,DAPK2,ENAH,,NAMPT,UBE2C,,GBP1,SNHG15,APRT,STK17B,CD99,,,,RHPN2,,BLVRB,LBH,CP
EBI3,PSMB8,PMP22,MCM5,,DNAJC3,GUCY1A2,,AHR,EIF4EBP1,RASGRP2,SLC39A4,NHP2,,,,HILPDA,,MYO10,7SK,SMS
IL4I1,NRN1,UGCG,PAPSS1,,TMEM47,BRI3,,BCL6,TRAC,HEG1,PYCARD,MANF,,,,MAFB,,AHR,CES1,SOD3
GCHFR,SORBS2,EPAS1,MLLT11,,ELK3,GPAT2,,FBXO32,IGHM,MGST3,SMOC2,LAPTM4A,,,,TSPAN4,,TBCC,PKM,C19orf33
SMAP2,PYCARD-AS1,SDC2,DDB2,,LEMD3,CAPG,,KPNA2,PPA1,KLF10,TUBB2B,SSH2,,,,EML4,,MRPL12,PPIB,EIF1B
FLVCR2,CADM1,MGLL,YWHAH,,C9orf72,FGF9,,IRS2,GRIK1,IQCG,IRF7,VWF,,,,BTG3,,ATP5MC3,TCEAL4,CLIC1
MIS18BP1,HOXB2,SESN2,ATP5PD,,DDI2,RFXAP,,INHBA,NKAIN2,NINJ2,PLD3,AP2S1,,,,HSP90AB1,,SYNM,ATP1B3,PPDPF
IMPA1,RNF213,TCEAL9,SFN,,MDFIC,CDK1,,SAP30,TMEM100,AQP5,UBB,RANBP1,,,,CRNDE,,JAK1,DCD,ANKRD12
ARL6IP5,EDNRA,FABP5,CYB5R4,,RPL36A,KIF20B,,CHN1,NOX5,UBC,NGFR,CNKSR3,,,,PYCARD,,GLA,EPB41L4A-AS1,HIF1A
FNDC3B,PPP1R14B,EMP3,MADD,,KAT6A,FN1,,FOXP1,SV2B,ITM2C,IFFO2,KANK3,,,,APOE,,ASAH1,CSTF3,ETS2
CTSC,CERCAM,PDPN,ARL6IP6,,NME4,PLIN2,,CHMP1B,TUBA1C,DAPK1,CALML3,MYCT1,,,,DRAP1,,CTSC,APLP2,RSAD2
UBE2S,KCTD12,TPBG,JUP,,EIF2S2,NSMCE3,,LBR,NUPR1,RDH10,ITGA2,CDH5,,,,PHLDA1,,NUB1,PSPH,BEX3
TRIM22,CAVIN3,GEM,NDUFA1,,ZCCHC3,S100A8,,ERRFI1,ANAPC16,SFTA1P,DLL1,CAPZA2,,,,BAZ1A,,AHI1,KLF6,BEX4
ATM,SPATS2L,NRP2,ITFG2,,GPCPD1,MANF,,SLC16A1,CD59,RAD51C,EMILIN1,TSPAN13,,,,PLEC,,SAA1,CST6,BEX2
EREG,STAR,GPC1,IRAK4,,XBP1,MEIS1,,STK17A,CLDN6,SLCO4A1,VAMP8,RALA,,,,ID4,,RPS27L,NDUFA4L2,SNX9
CALM1,DEK,CREB5,MED30,,TOMM40,SMIM10L1,,TUBB2A,SFRP1,PXMP4,DUSP6,THSD7A,,,,ARL8B,,ACTN1,FXYD5,SELENOP
ZNF100,MFAP5,FXYD6,RPA2,,ZNF800,KLHL14,,CALM1,SAA1,NOP2,PCOLCE,SSR4,,,,GPATCH2L,,KANK2,ATP5PD,LRRFIP1
MIA3,COPZ2,FGFR1,TINAGL1,,FNIP1,PTP4A3,,HOTAIRM1,DSP,TGM2,RNASET2,TRIB3,,,,ARID5B,,BHLHE40,OLIG1,CLDN7
OSTF1,RND3,PPP1R15A,C19orf12,,HMGN1,MARCKS,,IRF1,BMX,EGLN2,MIDN,PRDX1,,,,PKNOX1,,DUSP5,HMGB3,SDF2L1
RAPH1,POU3F1,COL4A2,ITGA3,,SDC3,SMC2,,RCN3,MT-ND5,SLC16A1,SEMA3C,ANXA2,,,,KLF13,,NFKB1,TMEM45A,PPP1R14B
MANF,NEXN,TMOD1,CHCHD7,,ACTN4,NDUFV2,,CAMK2N1,ANPEP,ATF3,ITM2C,LMO2,,,,CREB5,,PCSK7,MCL1,DUSP2
TMEM51,NBPF10,TIMP1,ANP32E,,TBL1X,WNT4,,STOM,CAST,PAG1,DPYSL2,CMTM7,,,,IRS2,,ANO6,CHRDL1,FBXO2
DNMT1,YBX1,GAL,FAM50A,,BEX2,ANP32E,,NXN,CD81,HSPB1,POLR2L,ATP5PF,,,,TRIM56,,ZBTB38,SNHG15,IDO1
ADA2,NDUFA4,PTGDS,EGLN1,,ZBTB43,N4BP2L2,,BCAM,LANCL2,AHR,NRARP,ARL4A,,,,IDS,,TACC1,CENPX,SEMA3B
ZNF688,MYO1B,TGM2,MAP3K1,,CYSTM1,COL4A1,,GRB10,DAB1,PRSS21,ARL4D,SERPING1,,,,ITGB1,,MEG3,CCDC34,NUPR1
NDUFA4,ATOX1,CSF3,MT1G,,SDC4,ITM2C,,HSPG2,BIN2,CMSS1,CTSS,KIAA0040,,,,ARL4C,,CLK1,CALM1,MUC4
CASP3,SERINC2,PTN,FDPS,,ZFAS1,HLA-C,,NEDD9,GMFB,LARP6,A2M,SNRPE,,,,TOMM40,,LDLR,TRIB3,MED10
LRP1,ADAMTSL2,SFRP4,ARHGAP18,,SLC22A4,RTKN2,,ZSCAN18,HMGB2,ARHGAP18,CITED2,ENPP2,,,,RASSF1,,PHLDA1,TUBA1C,DOK5
FKBP5,CTSB,BDKRB2,GFOD1,,JCAD,CALM1,,YPEL2,LAGE3,PTGER4,HSP90AB1,NPC2,,,,MARCKS,,ARFGAP3,CD81,IDO2
RAB29,MYO5A,EMILIN1,GPHN,,RPS6KA5,CAMK2D,,GJA4,BST2,MRPL33,TMEM98,ADD3,,,,N4BP2L2,,CSRNP1,HES4,KLK6
SSH1,PARP4,GFRA2,B3GNT5,,SLC4A7,HSPA5,,VMP1,NUDT10,CAV2,ZNF331,IFNGR2,,,,MGAT1,,FERMT2,SUN3,RASD1
MTUS1,MFAP2,FTL,TSPAN4,,FOXO1,IDI1,,THBD,MYEOV,MUC16,COPZ2,ISG20,,,,ID1,,HSPB8,MOXD1,KLHDC7B
CD84,FAP,,KPNA2,,SMTN,OAS3,,PLAT,EMP1,CRISPLD2,SBSPON,CALM2,,,,TSPYL1,,TNS1,EGR1,BHLHE40
FCGR3A,EDN1,,CAMK2N1,,ZNF254,PARP1,,DDIT3,CENPF,FAM43A,SP110,SLC30A1,,,,FTX,,BAG3,LINC00662,UQCRFS1
MYO1F,POLR2L,,WDFY2,,KLF10,TAGLN2,,PITPNC1,CMSS1,PHF19,STK17A,DOCK9,,,,UBASH3B,,MYO9B,NCOA7,PPP1CB
THEMIS2,NINJ2,,RAD9A,,GIMAP1,BCL11A,,FLT1,BEX1,HLA-DQA2,GBP1,SNU13,,,,ATP5MC2,,CDK17,LSM2,CD59
MXI1,COX6C,,SDCCAG8,,USP53,ZNF506,,KDR,S100A7,PPP1R14A,PBX3,SH3BP5,,,,RASSF8,,CKB,CACYBP,RAB3IP
CCR1,IFI16,,DSC2,,PPP1CB,NRP2,,SNRK,SH3BGRL3,CPE,BOC,CCND1,,,,MSRB3,,NAV2,KRT6B,IL6
GALNT2,OLFML2B,,MTR,,SERPING1,FOXO1,,FMNL3,GGCT,PHLDB2,ARHGAP18,CALCRL,,,,DCP1A,,LRIG1,LSR,FAM110B
TUBA1C,SAMHD1,,CLASP1,,CSF3,DBI,,GUCY1A2,MRPS34,ABCG1,FBN1,STOM,,,,ITPKC,,PPP3CC,ABRACL,ATP13A3
MTMR6,PHACTR1,,KCNN4,,ZFAND2A,AKAP12,,MTUS1,NOP56,CKS2,PLCG2,ADM,,,,ATP5MG,,NRIP1,CKS1B,AKAP12
MRPL57,ATP10A,,CLIC1,,SDCBP2,CXCL5,,THBS1,PLAU,MYBL1,IL1R1,MARCKS,,,,SDE2,,DNAJB9,SLC5A3,IFI27
NR1H3,P4HA1,,SRPX,,ZSWIM6,CA8,,NRIP1,TWIST2,NAA38,NFIB,PFN1,,,,STX12,,FOXO1,TRIM44,IL11
PLEKHA2,CHN1,,CORO1A,,FKBP10,ISYNA1,,ZNF516,FSTL5,EXT1,MCC,ARHGEF15,,,,NME1,,NET1,UGP2,PHLDA2
OXSR1,SUGCT,,NNMT,,SIPA1L1,EXT1,,CAV1,PIK3R5,RNF223,RPS10,F2RL3,,,,FST,,P3H2,LGALS3BP,FKBP10
SCCPDH,UBL5,,PCMTD2,,ZC3HAV1,FAT1,,LMO2,NFKBIA,MCL1,RCAN3,ANXA5,,,,BNIP2,,PDGFC,POLR2J3,SNCG
IRF7,FZD7,,ANKRD36,,SASH1,NEK5,,NUAK1,NCOA7,CTH,FKBP10,RDX,,,,B4GALT1,,TMOD1,PI3,IGLC2
WASHC4,CROCC,,OSTF1,,MECOM,NAMPT,,ZFAND2A,TPM4,MRPL12,BRI3,CLDN14,,,,USP53,,PBX1,DEFB1,LPIN1
IFITM2,DNMT1,,RBL2,,CBLB,GPRC5A,,RAI14,DOK6,MMADHC,BICC1,BACE2,,,,ACSL4,,IGFBP3,PTPN22,ABLIM3
APH1B,SLC25A4,,GPRC5A,,NR5A2,CBX3,,KANK3,NMB,JUP,CPNE8,MCAM,,,,SRGAP1,,HSPA5,PROX1,LRCH2
CALM2,CCNL1,,SH3BGRL3,,ZBTB20,MYBL1,,TCIM,CALCB,IL18,FOXC1,HMGB1,,,,PPP1R18,,HMGA1,ARID5B,UCHL1
ARL13B,LSM4,,SUMF2,,CTTNBP2NL,BTG3,,HOXD10,TMEM238,AHNAK2,TENT5A,HLA-E,,,,AKIRIN2,,FHL2,TNFSF10,IRAK2
MDFIC,DNAJC15,,MBP,,DGKE,OSGIN2,,HOPX,BTG1,ANAPC16,HLA-E,NNMT,,,,TRAF3,,ELK3,TLR1,DSTN
KLF9,SEMA3D,,ORAI1,,DCUN1D3,CEP152,,LIMS1,KCNQ3,CSTF3,TRIB1,FILIP1,,,,CYLD,,LTBP1,TSC22D3,TMBIM1
TMEM263,CPE,,ATF6B,,LIMS2,RNF19A,,AR,ITGBL1,GNE,COL6A3,CTHRC1,,,,TGIF1,,LAYN,PAFAH1B3,MAP3K8
TRPS1,KLF5,,DDI2,,TGIF2,SDC4,,SEC14L1,STC1,FRMD3,RAB20,CFL1,,,,PRSS22,,PPP1R15A,FAM181B,HOTAIRM1
BTG2,CREB3L1,,LRBA,,AP3M2,MYL12A,,TSPAN7,S100A8,ARL4D,CYBRD1,APOD,,,,ARRDC3,,EMP3,SLC25A6,CLDN10
TMX4,LYPD1,,ACAT2,,RBM4,MRPS34,,TGM2,LSR,SCGB2A1,IRF2BP2,IGFBP3,,,,CD59,,ZNF516,U2AF1,PDCD5
ARRDC3,PPM1K,,TNFAIP6,,PARP1,BMP2,,ITGA2,CSTF3,AMIGO2,CDH1,GYPC,,,,CCND2,,PTGDS,GLT8D2,EIF3G
PPIB,TGFBI,,CERK,,CHCHD2,CTSV,,IGF1,CCL20,TRIM44,SPATS2L,BRI3,,,,RILPL2,,CAVIN1,COL21A1,ARF4
LHFPL2,DUSP2,,HPCAL1,,SERPINB1,RHOV,,TSC22D1,TECR,FOLR1,DSP,NUPR1,,,,TRIM47,,LGALS1,DMKN,FKBP1A
ITPR2,DLX5,,GNB4,,PCNX1,TMEM243,,IGFBP3,TCEAL4,NBPF10,DPM3,GPX4,,,,SEC11C,,CEP135,PITX1,LY6E
DBI,MT-ND4L,,DLEU2,,PMP22,TFAP2C,,MT-ND4,TMEM176A,ZNF503,RAP2B,MGST2,,,,C1R,,ZEB1,MAP3K20,DRAP1
MAN2A1,CAST,,RBM38,,PLEKHG1,ZFAND5,,RGCC,MAP1LC3B,TMOD1,FHOD3,CD36,,,,EIF1B,,AKAP13,TALDO1,EFNB1
ECI2,B3GALT4,,PIK3R1,,KALRN,NEK2,,,GABRE,SOS2,NDUFA1,ACTG1,,,,IFT57,,RERE,CCDC80,APOBEC3G
ZBTB20,RBMS1,,SNTB2,,ZNF43,TMEM74B,,,LAMA4,DNAJC15,SRPX,AKAP12,,,,SMTN,,KRT19,TAGLN,EVA1A
FOXN2,SQSTM1,,RNPC3,,PELO,FAM3C,,,PPIF,MALT1,DBI,RHOB,,,,STK17A,,MACF1,PRKAR2B,TSPO
ANO6,TRIM38,,TRIM44,,MAP3K20,VCL,,,PAK3,PRKAR2B,IRX3,MYL6,,,,ECE1,,NLRP1,NR4A1,RPS20
EPAS1,NUDT16L1,,RBM6,,EIF3M,PLPP3,,,PRR16,TRNP1,RHOD,MT-ND2,,,,PLK2,,ERRFI1,PXDNL,HSPH1
SLC2A3,CCDC34,,GNAI2,,HES1,GPNMB,,,TSPAN7,IL4I1,ARL4A,SERPINE1,,,,SLFN5,,EPHA1-AS1,ARHGAP29,CXCL16
SMIM14,EVA1A,,ATM,,NET1,CKAP2,,,HOXD1,PLEKHF2,NECTIN2,CSTB,,,,COL18A1,,DUSP1,SMIM11,MFSD2A
CTDSP1,CYS1,,MT1X,,SH3BP2,ATP6V1B2,,,SRM,AMOTL1,CTR9,MT-CO1,,,,PSMD6,,CD44,IFNGR1,OASL
PPP2R5C,DSTN,,GLS,,ZNF26,IFNGR1,,,DNAJC9,NMU,TMEM106C,PGF,,,,ARL4A,,GJC1,SUSD2,CENPW
CAST,SGCD,,TPM2,,PLK3,SELENOK,,,ARHGDIB,ARL4C,RAB32,MT-ND4,,,,COL4A2,,FOS,ADGRG1,IRS2
